2025-10-30T15:10:54.509427,autoscout24,BMW 520d xDrive Touring Sport Line Steptronic - EXPORT,,https://www.autoscout24.ch/de/d/bmw-520d-xdrive-touring-sport-line-steptronic-export-12209454,"TOP
BMW 520d xDrive Touring Sport Line Steptronic - EXPORT
Der Motor startet kurzzeitig, geht jedoch wieder aus. Elektrische und Carrosserie problemen.
CHF 12'500.–
Finanzierung vergleichen
•
Versicherungen vergleichen
02.2019
Diesel
60'000 km
190 PS"
2025-10-30T15:10:54.509579,autoscout24,VW Passat 2.0 TDI BMT Business DSG,,https://www.autoscout24.ch/de/d/vw-passat-20-tdi-bmt-business-dsg-12561798,"VW Passat 2.0 TDI BMT Business DSG
CHF 15'900.–
Finanzierung vergleichen
•
Versicherungen vergleichen
08.2022
Diesel
97'310 km
150 PS (110 kW)
Halbautomatisches Getriebe
5 l/100 km
LR Salvato AG
•
4710 KLUS-BALSTHAL
+ Alle Fahrzeuge dieses Händlers"
2025-10-30T15:10:54.509620,autoscout24,AUDI A4 Avant 40 TDI S-LINE S-tronic,,https://www.autoscout24.ch/de/d/audi-a4-avant-40-tdi-s-line-s-tronic-12213723,"AUDI A4 Avant 40 TDI S-LINE S-tronic
***MFK BIS 05.2026*VIRTUALCOCKPIT*360 GRAD KAMERA*PARKLENKASSISTENT*NAVIGATION*ISOFOX*1 JAHR GARANTIE INKLUSIVE***
CHF 19'999.–
Finanzierung vergleichen
•
Versicherungen vergleichen
08.2019
Diesel
89'850 km
190 PS"
2025-10-30T15:10:54.509652,autoscout24,SKODA Octavia Combi 2.0 TDI DSG Ambition,,https://www.autoscout24.ch/de/d/skoda-octavia-combi-20-tdi-dsg-ambition-12109972,"SKODA Octavia Combi 2.0 TDI DSG Ambition
Unfallfahrzeug, Frontschadne, Airbag los, fahrbar auf Platz
CHF 13'999.–
Finanzierung vergleichen
•
Versicherungen vergleichen
Autoverwertung Zimmermann GmbH
•
8864 Reichenburg"
2025-10-30T15:10:54.509685,autoscout24,SKODA Octavia Combi 2.0 TDI DSG Ambition 4x4,,https://www.autoscout24.ch/de/d/skoda-octavia-combi-20-tdi-dsg-ambition-4x4-11826893,"SKODA Octavia Combi 2.0 TDI DSG Ambition 4x4
Unfallfahrzeug, Seitenschaden links/rechts, fahrbar auf Platz, Airbag los
CHF 14'999.–
Finanzierung vergleichen
•
Versicherungen vergleichen
Autoverwertung Zimmermann GmbH
•
8864 Reichenburg"
2025-10-30T15:10:54.509719,autoscout24,BMW 320d Steptronic Sport Line,,https://www.autoscout24.ch/de/d/bmw-320d-steptronic-sport-line-12632805,"BMW 320d Steptronic Sport Line
CHF 6'600.–
Finanzierung vergleichen
•
Versicherungen vergleichen
Auto Hamo GmbH
•
8153 Rümlang"
2025-10-30T15:22:35.440038+00:00,autoscout24,BMW 520d xDrive Touring Sport Line Steptronic - EXPORT,,https://www.autoscout24.ch/de/d/bmw-520d-xdrive-touring-sport-line-steptronic-export-12209454,"TOP
BMW 520d xDrive Touring Sport Line Steptronic - EXPORT
Der Motor startet kurzzeitig, geht jedoch wieder aus. Elektrische und Carrosserie problemen.
CHF 12'500.–
Finanzierung vergleichen
•
Versicherungen vergleichen
02.2019
Diesel
60'000 km
190 PS"
2025-10-30T15:22:35.440186+00:00,autoscout24,VW Passat 2.0 TDI BMT Business DSG,,https://www.autoscout24.ch/de/d/vw-passat-20-tdi-bmt-business-dsg-12561798,"VW Passat 2.0 TDI BMT Business DSG
CHF 15'900.–
Finanzierung vergleichen
•
Versicherungen vergleichen
08.2022
Diesel
97'310 km
150 PS (110 kW)
Halbautomatisches Getriebe
5 l/100 km
LR Salvato AG
•
4710 KLUS-BALSTHAL
+ Alle Fahrzeuge dieses Händlers"
2025-10-30T15:22:35.440215+00:00,autoscout24,AUDI A4 Avant 40 TDI S-LINE S-tronic,,https://www.autoscout24.ch/de/d/audi-a4-avant-40-tdi-s-line-s-tronic-12213723,"AUDI A4 Avant 40 TDI S-LINE S-tronic
***MFK BIS 05.2026*VIRTUALCOCKPIT*360 GRAD KAMERA*PARKLENKASSISTENT*NAVIGATION*ISOFOX*1 JAHR GARANTIE INKLUSIVE***
CHF 19'999.–
Finanzierung vergleichen
•
Versicherungen vergleichen
08.2019
Diesel
89'850 km
190 PS"
2025-10-30T15:22:35.440237+00:00,autoscout24,SKODA Octavia Combi 2.0 TDI DSG Ambition,,https://www.autoscout24.ch/de/d/skoda-octavia-combi-20-tdi-dsg-ambition-12109972,"SKODA Octavia Combi 2.0 TDI DSG Ambition
Unfallfahrzeug, Frontschadne, Airbag los, fahrbar auf Platz
CHF 13'999.–
Finanzierung vergleichen
•
Versicherungen vergleichen
Autoverwertung Zimmermann GmbH
•
8864 Reichenburg"
2025-10-30T15:22:35.440256+00:00,autoscout24,SKODA Octavia Combi 2.0 TDI DSG Ambition 4x4,,https://www.autoscout24.ch/de/d/skoda-octavia-combi-20-tdi-dsg-ambition-4x4-11826893,"SKODA Octavia Combi 2.0 TDI DSG Ambition 4x4
Unfallfahrzeug, Seitenschaden links/rechts, fahrbar auf Platz, Airbag los
CHF 14'999.–
Finanzierung vergleichen
•
Versicherungen vergleichen
Autoverwertung Zimmermann GmbH
•
8864 Reichenburg"
2025-10-30T15:22:35.440285+00:00,autoscout24,BMW 320d Steptronic Sport Line,,https://www.autoscout24.ch/de/d/bmw-320d-steptronic-sport-line-12632805,"BMW 320d Steptronic Sport Line
CHF 6'600.–
Finanzierung vergleichen
•
Versicherungen vergleichen
Auto Hamo GmbH
•
8153 Rümlang"
2025-10-30T16:06:40.264280+00:00,autoscout24,BMW 520d xDrive Touring Sport Line Steptronic - EXPORT,,https://www.autoscout24.ch/de/d/bmw-520d-xdrive-touring-sport-line-steptronic-export-12209454,"TOP
BMW 520d xDrive Touring Sport Line Steptronic - EXPORT
Der Motor startet kurzzeitig, geht jedoch wieder aus. Elektrische und Carrosserie problemen.
CHF 12'500.–
Finanzierung vergleichen
•
Versicherungen vergleichen
02.2019
Diesel
60'000 km
190 PS"
2025-10-30T16:06:40.264376+00:00,autoscout24,VW Passat 2.0 TDI BMT Business DSG,,https://www.autoscout24.ch/de/d/vw-passat-20-tdi-bmt-business-dsg-12561798,"VW Passat 2.0 TDI BMT Business DSG
CHF 15'900.–
Finanzierung vergleichen
•
Versicherungen vergleichen
08.2022
Diesel
97'310 km
150 PS (110 kW)
Halbautomatisches Getriebe
5 l/100 km
LR Salvato AG
•
4710 KLUS-BALSTHAL
+ Alle Fahrzeuge dieses Händlers"
2025-10-30T16:06:40.264406+00:00,autoscout24,AUDI A4 Avant 40 TDI S-LINE S-tronic,,https://www.autoscout24.ch/de/d/audi-a4-avant-40-tdi-s-line-s-tronic-12213723,"AUDI A4 Avant 40 TDI S-LINE S-tronic
***MFK BIS 05.2026*VIRTUALCOCKPIT*360 GRAD KAMERA*PARKLENKASSISTENT*NAVIGATION*ISOFOX*1 JAHR GARANTIE INKLUSIVE***
CHF 19'999.–
Finanzierung vergleichen
•
Versicherungen vergleichen
08.2019
Diesel
89'850 km
190 PS"
2025-10-30T16:06:40.264425+00:00,autoscout24,SKODA Octavia Combi 2.0 TDI DSG Ambition,,https://www.autoscout24.ch/de/d/skoda-octavia-combi-20-tdi-dsg-ambition-12109972,"SKODA Octavia Combi 2.0 TDI DSG Ambition
Unfallfahrzeug, Frontschadne, Airbag los, fahrbar auf Platz
CHF 13'999.–
Finanzierung vergleichen
•
Versicherungen vergleichen
Autoverwertung Zimmermann GmbH
•
8864 Reichenburg"
2025-10-30T16:06:40.264441+00:00,autoscout24,SKODA Octavia Combi 2.0 TDI DSG Ambition 4x4,,https://www.autoscout24.ch/de/d/skoda-octavia-combi-20-tdi-dsg-ambition-4x4-11826893,"SKODA Octavia Combi 2.0 TDI DSG Ambition 4x4
Unfallfahrzeug, Seitenschaden links/rechts, fahrbar auf Platz, Airbag los
CHF 14'999.–
Finanzierung vergleichen
•
Versicherungen vergleichen
Autoverwertung Zimmermann GmbH
•
8864 Reichenburg"
2025-10-30T16:06:40.264457+00:00,autoscout24,BMW 320d Steptronic Sport Line,,https://www.autoscout24.ch/de/d/bmw-320d-steptronic-sport-line-12632805,"BMW 320d Steptronic Sport Line
CHF 6'600.–
Finanzierung vergleichen
•
Versicherungen vergleichen
Auto Hamo GmbH
•
8153 Rümlang"
